1,Centre,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
129,KHARAGPUR,44,22,30,80,95,96,120,105,42,45,208,165,130,145,180,125,45,230,14,28,22,40
130,RAMPURHAT,51,22,33,77,107,97,123,107,40,54,192,178,139,164,170,138,54,280,19,25,17,44
131,MALDA,34,17,24,79,118,99,108,103,41,43,NR,185,120,148,174,143,48,293,19,23,23,70
132,RAIGANJ,36,23,36,84,115,123,110,105,41,39,196,172,135,165,190,134,55,253,10,25,20,58
133,NORTH EAST ZONE,,,,,,,,,,,,,,,,,,,,,,
134,PORT BLAIR,41,39,65,80,105,117,108,104,51,67,NR,240,227,NR,216,176,70,325,22,50,40,50
135,MAYABUNDER,49,NR,66,86,110,130,124,100,51,68,201,221,175,NR,208,172,66,NR,19,50,40,50
136,ITANAGAR,24,NR,45,80,120,120,120,110,NR,NR,NR,150,180,160,240,NR,NR,NR,NR,35,40,70
137,GUWAHATI,27,28,33,65,93,80,90,88,42,65,210,174,166,155,170,155,44,200,15,29,30,45
138,BARPETA,37,24,32,68,100,98,96,92,42,68,245,178,155,177,196,150,45,205,12,28,30,60
139,TINSUKIA,21,NR,33,70,115,98,95,92,44,68,NR,180,180,150,195,NR,58,175,12,26,25,NR
140,IMPHAL,40,34,33,85,110,120,100,95,49,60,180,170,177,170,210,167,NR,280,NR,35,31,80
141,SHILLONG,35,34,32,78,103,107,107,98,44,68,NR,163,160,145,193,NR,60,253,28,33,37,53
142,TURA,22,35,34,85,115,120,110,103,45,68,NR,175,NR,160,210,140,70,500,15,37,37,53
143,JOWAI,25,34,32,90,100,110,115,95,45,68,NR,160,170,170,200,150,60,360,28,30,40,43
144,SOHRA,25,32,30,NR,120,120,115,100,45,66,NR,180,NR,150,NR,NR,100,340,25,22,60,70
145,MAIRANG,25,34,33,NR,NR,NR,NR,97,45,68,NR,155,NR,160,NR,NR,NR,347,12,30,40,33
146,AIZAWL,45,40,40,100,130,130,120,130,53,72,191,187,183,191,209,147,120,123,25,40,60,60
147,KOHIMA,40,NR,55,NR,NR,110,120,130,55,55,NR,220,210,190,NR,NR,NR,360,25,30,60,80
148,DIMAPUR,23,39,36,65,105,90,105,95,50,80,210,160,135,170,210,165,62,208,14,30,35,45
149,TUENSANG,30,NR,50,100,NR,NR,NR,100,50,NR,NR,170,NR,180,NR,NR,NR,NR,20,35,45,65
150,GANGTOK,53,30,34,85,115,125,115,110,48,62,NR,220,194,201,238,NR,60,547,17,38,35,50
151,AGARTALA,45,NR,30,75,115,110,110,115,50,64,NR,180,180,180,190,155,50,180,10,35,30,60
152,SOUTH ZONE,,,,,,,,,,,,,,,,,,,,,,
153,VIJAYWADA,56,41,48,70,106,118,104,96,42,67,177,175,138,NR,175,126,53,297,18,38,26,26
154,VISAKHAPATNAM,41,34,36,76,115,122,107,97,41,50,176,180,127,NR,173,125,56,240,20,29,23,24
155,KURNOOL,51,40,42,70,112,121,112,102,39,59,172,249,180,190,175,127,55,450,22,37,22,15
156,TIRUPATHI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
157,JAMMALAMADUGU,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
158,BENGALURU,53,35,37,80,118,105,110,99,42,43,210,192,114,172,176,131,63,393,19,28,24,14
159,DHARWAD,40,36,56,67,117,116,107,113,37,50,203,204,179,157,186,151,45,393,21,32,32,23
160,MANGALORE,44,39,49,68,98,109,98,98,40,43,184,214,128,155,179,145,51,412,14,33,19,19
161,MYSORE,50,37,53,103,98,108,118,116,38,38,196,208,190,166,181,148,64,515,18,41,26,12
162,BENGALURU (EAST RANGE),52,34,36,75,118,108,101,102,44,41,212,193,112,177,174,138,57,355,17,30,28,12
163,BELAGAVI,41,35,34,66,105,102,91,90,38,48,178,171,156,146,175,126,52,273,19,27,26,27
164,KALABURAGI,44,32,37,78,100,102,98,100,42,46,178,174,120,174,173,137,44,186,17,28,21,20
165,TUMAKURU,50,34,34,71,101,107,105,100,39,41,209,207,173,193,174,146,55,315,17,30,24,14
166,BELLARY,42,38,35,60,106,105,97,94,38,43,172,184,115,131,172,128,42,184,23,31,27,13
167,DHAVANAGERE,48,36,59,74,106,112,101,102,38,40,173,205,138,162,177,135,56,268,19,31,23,11
168,SHIVAMOGGA,43,40,39,69,98,99,97,97,40,44,174,164,130,144,170,126,44,240,14,30,27,19
169,VIJAYAPUR,57,34,42,80,116,118,126,110,38,45,194,214,168,181,188,126,43,322,16,31,21,15
170,T.PURAM,53,39,47,98,125,135,128,118,42,45,200,186,175,NR,180,148,77,267,15,46,27,27
171,ERNAKULAM,47,39,37,95,127,146,125,121,41,46,191,213,190,NR,188,141,61,210,16,42,25,24
172,KOZHIKODE,37,39,49,87,123,128,127,115,42,48,212,226,172,NR,182,145,61,222,13,33,26,14
173,THRISSUR,44,42,56,98,122,132,126,111,42,48,215,208,183,NR,180,152,60,260,15,42,29,23
174,PALAKKAD,38,39,38,81,120,122,113,111,40,44,218,208,187,NR,175,130,52,247,12,40,23,15
175,WAYANAD,49,44,37,94,123,129,125,117,39,48,NR,228,213,NR,185,137,52,217,15,38,23,15
176,KASARGOD,52,44,50,90,114,126,114,110,40,46,NR,NR,210,NR,170,128,48,242,15,34,25,18
177,KOTTAYAM,50,38,36,118,118,126,116,104,41,50,NR,213,190,NR,192,144,60,240,13,42,25,38
178,PATHANAMTHITTA,51,32,35,95,118,131,118,128,41,48,NR,248,190,NR,175,145,63,237,14,42,29,30
179,PUDUCHERRY,34,40,33,77,119,122,111,101,40,44,174,178,170,NR,164,126,48,328,21,30,25,14
180,CHENNAI,58,39,33,69,107,113,99,97,40,40,181,193,143,NR,176,122,49,303,21,36,26,19
181,DINDIGUL,55,43,50,75,111,118,107,97,40,40,204,215,160,NR,184,134,56,290,22,38,25,14
182,THIRUCHIRAPALLI,52,37,59,75,121,124,111,105,40,43,193,220,152,NR,177,128,54,NR,24,39,31,16
183,COIMBATORE,39,39,40,74,116,121,103,96,40,40,220,209,150,NR,189,137,52,240,23,39,20,12
184,TIRUNELVELI,36,38,54,75,112,120,102,95,39,40,229,214,160,NR,191,140,47,220,22,33,24,16
185,CUDDALORE,51,42,54,81,116,117,111,105,39,46,183,190,167,NR,182,143,48,280,22,48,27,20
186,DHARMAPURI,48,38,36,70,113,118,100,96,39,43,213,NR,143,NR,187,137,45,270,23,32,25,10
187,VELLORE,49,38,40,73,120,120,105,97,40,40,198,205,166,NR,190,137,54,270,23,33,25,18
188,RAMANATHAPURAM,49,35,58,69,111,122,101,104,40,43,214,255,166,NR,191,138,49,277,18,31,31,17
189,HYDERABAD,46,34,33,69,95,108,101,100,36,50,171,178,143,175,174,127,51,260,16,20,20,25
190,KARIMNAGAR,35,32,44,70,105,107,102,92,38,54,170,188,135,NR,172,136,48,304,20,25,20,25
191,WARANGAL,42,38,37,76,95,107,98,98,41,54,188,197,164,185,195,155,53,283,15,29,29,50
192,ADILABAD,50,35,40,67,102,98,98,95,37,70,170,220,164,167,169,134,52,307,21,28,28,20
193,SURYAPET,35,35,28,63,95,95,96,90,47,58,183,188,163,NR,191,150,55,282,20,15,37,62
194,JADCHERLA,40,30,50,75,108,123,108,95,39,57,170,178,126,NR,184,140,55,292,14,15,14,30
195,Commodity Name,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
196,Average Price1,37.02,30.37,34.89,73.59,107.4,106.55,102.12,97.08,41.83,52.51,187.95,174.65,155.05,157.76,181.11,138.31,49.51,281.76,19.93,27.2,25.62,34.33
197,Maximum Price1,58,44,66,120,135,146,135,130,55,80,250,255,227,202,240,185,120,547,28,50,60,80
198,Minimum Price1,21,17,22,55,72,73,78,70,35,35,155,145,105,130,140,85,33,123,8,13,10,10
199,Modal Price1,32.5,29.5,30,70,110,120,95,100,40,48,182.5,180,160,155,175,140,45,240,24,25,25,40
200,Source:- State civil supplies Dept.Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023 NR -&gt Not Reported Developed by:- National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,,
201,Source:- State civil supplies Dept.,Note:- All India Consumption Weighted Average Prices of Oils w.e.f 23-Feb-2022 and Wheat and Atta w.e.f 25-Feb-2023,NR -&gt Not Reported,,,,,,,,,,,,,,,,,,,,
202,Developed by:- National Informatics Centre(NIC),Developed by:- National Informatics Centre(NIC),,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,
